athlete_code,stage_code,result_rank,result,result_type
1953037,BKGMINDIVID-----------GPA-000100--,,1,POINTS
1955590,BKGMINDIVID-----------GPA-000100--,,1,POINTS
1909911,BKGMINDIVID-----------GPA-000200--,,2,POINTS
1953036,BKGMINDIVID-----------GPA-000200--,,0,POINTS
1958888,BKGMINDIVID-----------GPB-000100--,,2,POINTS
1880191,BKGMINDIVID-----------GPB-000100--,,0,POINTS
1940105,BKGMINDIVID-----------GPB-000200--,,0,POINTS
1897536,BKGMINDIVID-----------GPB-000200--,,2,POINTS
1955589,BKGMINDIVID-----------GPC-000100--,,2,POINTS
1880193,BKGMINDIVID-----------GPC-000100--,,0,POINTS
1568048,BKGMINDIVID-----------GPC-000200--,,0,POINTS
1965474,BKGMINDIVID-----------GPC-000200--,,2,POINTS
1931298,BKGMINDIVID-----------GPD-000100--,,0,POINTS
1965473,BKGMINDIVID-----------GPD-000100--,,2,POINTS
1563335,BKGMINDIVID-----------GPD-000200--,,2,POINTS
1542901,BKGMINDIVID-----------GPD-000200--,,0,POINTS
1953037,BKGMINDIVID-----------GPA-000300--,,2,POINTS
1953036,BKGMINDIVID-----------GPA-000300--,,0,POINTS
1955590,BKGMINDIVID-----------GPA-000400--,,2,POINTS
1909911,BKGMINDIVID-----------GPA-000400--,,0,POINTS
1958888,BKGMINDIVID-----------GPB-000300--,,1,POINTS
1897536,BKGMINDIVID-----------GPB-000300--,,1,POINTS
1880191,BKGMINDIVID-----------GPB-000400--,,2,POINTS
1940105,BKGMINDIVID-----------GPB-000400--,,0,POINTS
1955589,BKGMINDIVID-----------GPC-000300--,,2,POINTS
1965474,BKGMINDIVID-----------GPC-000300--,,0,POINTS
1880193,BKGMINDIVID-----------GPC-000400--,,1,POINTS
1568048,BKGMINDIVID-----------GPC-000400--,,1,POINTS
1931298,BKGMINDIVID-----------GPD-000300--,,2,POINTS
1542901,BKGMINDIVID-----------GPD-000300--,,0,POINTS
1965473,BKGMINDIVID-----------GPD-000400--,,2,POINTS
1563335,BKGMINDIVID-----------GPD-000400--,,0,POINTS
1909911,BKGMINDIVID-----------GPA-000500--,,1,POINTS
1953037,BKGMINDIVID-----------GPA-000500--,,1,POINTS
1953036,BKGMINDIVID-----------GPA-000600--,,0,POINTS
1955590,BKGMINDIVID-----------GPA-000600--,,2,POINTS
1940105,BKGMINDIVID-----------GPB-000500--,,0,POINTS
1958888,BKGMINDIVID-----------GPB-000500--,,2,POINTS
1897536,BKGMINDIVID-----------GPB-000600--,,0,POINTS
1880191,BKGMINDIVID-----------GPB-000600--,,2,POINTS
1568048,BKGMINDIVID-----------GPC-000500--,,1,POINTS
1955589,BKGMINDIVID-----------GPC-000500--,,1,POINTS
1965474,BKGMINDIVID-----------GPC-000600--,,2,POINTS
1880193,BKGMINDIVID-----------GPC-000600--,,0,POINTS
1563335,BKGMINDIVID-----------GPD-000500--,,0,POINTS
1931298,BKGMINDIVID-----------GPD-000500--,,2,POINTS
1542901,BKGMINDIVID-----------GPD-000600--,,0,POINTS
1965473,BKGMINDIVID-----------GPD-000600--,,2,POINTS
1880191,BKGMINDIVID-----------QFNL000100--,,2,POINTS
1955589,BKGMINDIVID-----------QFNL000100--,,1,POINTS
1931298,BKGMINDIVID-----------QFNL000200--,,0,POINTS
1955590,BKGMINDIVID-----------QFNL000200--,,3,POINTS
1953037,BKGMINDIVID-----------QFNL000300--,,3,POINTS
1965473,BKGMINDIVID-----------QFNL000300--,,0,POINTS
1965474,BKGMINDIVID-----------QFNL000400--,,0,POINTS
1958888,BKGMINDIVID-----------QFNL000400--,,3,POINTS
1880191,BKGMINDIVID-----------SFNL000100--,,2,POINTS
1955590,BKGMINDIVID-----------SFNL000100--,,1,POINTS
1953037,BKGMINDIVID-----------SFNL000200--,,0,POINTS
1958888,BKGMINDIVID-----------SFNL000200--,,3,POINTS
1955590,BKGMINDIVID-----------FNL-000200--,,3,POINTS
1953037,BKGMINDIVID-----------FNL-000200--,,0,POINTS
1880191,BKGMINDIVID-----------FNL-000100--,,0,POINTS
1958888,BKGMINDIVID-----------FNL-000100--,,3,POINTS
1924559,BKGWINDIVID-----------GPB-000100--,,1,POINTS
1880195,BKGWINDIVID-----------GPB-000100--,,1,POINTS
1955587,BKGWINDIVID-----------GPB-000200--,,2,POINTS
1940107,BKGWINDIVID-----------GPB-000200--,,0,POINTS
1953038,BKGWINDIVID-----------GPC-000100--,,2,POINTS
1925301,BKGWINDIVID-----------GPC-000100--,,0,POINTS
1542909,BKGWINDIVID-----------GPC-000200--,,0,POINTS
1909908,BKGWINDIVID-----------GPC-000200--,,2,POINTS
1953039,BKGWINDIVID-----------GPD-000100--,,1,POINTS
1897538,BKGWINDIVID-----------GPD-000100--,,1,POINTS
1897537,BKGWINDIVID-----------GPD-000200--,,2,POINTS
1880196,BKGWINDIVID-----------GPD-000200--,,0,POINTS
1909907,BKGWINDIVID-----------GPA-000100--,,2,POINTS
1955585,BKGWINDIVID-----------GPA-000100--,,0,POINTS
1956713,BKGWINDIVID-----------GPA-000200--,,0,POINTS
1965472,BKGWINDIVID-----------GPA-000200--,,2,POINTS
1924559,BKGWINDIVID-----------GPB-000300--,,2,POINTS
1955587,BKGWINDIVID-----------GPB-000300--,,0,POINTS
1940107,BKGWINDIVID-----------GPB-000400--,,0,POINTS
1880195,BKGWINDIVID-----------GPB-000400--,,2,POINTS
1953038,BKGWINDIVID-----------GPC-000300--,,2,POINTS
1542909,BKGWINDIVID-----------GPC-000300--,,0,POINTS
1909908,BKGWINDIVID-----------GPC-000400--,,2,POINTS
1925301,BKGWINDIVID-----------GPC-000400--,,0,POINTS
1953039,BKGWINDIVID-----------GPD-000300--,,1,POINTS
1897537,BKGWINDIVID-----------GPD-000300--,,1,POINTS
1880196,BKGWINDIVID-----------GPD-000400--,,0,POINTS
1897538,BKGWINDIVID-----------GPD-000400--,,2,POINTS
1909907,BKGWINDIVID-----------GPA-000300--,,2,POINTS
1956713,BKGWINDIVID-----------GPA-000300--,,0,POINTS
1965472,BKGWINDIVID-----------GPA-000400--,,2,POINTS
1955585,BKGWINDIVID-----------GPA-000400--,,0,POINTS
1940107,BKGWINDIVID-----------GPB-000500--,,0,POINTS
1924559,BKGWINDIVID-----------GPB-000500--,,2,POINTS
1955587,BKGWINDIVID-----------GPB-000600--,,1,POINTS
1880195,BKGWINDIVID-----------GPB-000600--,,1,POINTS
1909908,BKGWINDIVID-----------GPC-000500--,,0,POINTS
1953038,BKGWINDIVID-----------GPC-000500--,,2,POINTS
1542909,BKGWINDIVID-----------GPC-000600--,,0,POINTS
1925301,BKGWINDIVID-----------GPC-000600--,,2,POINTS
1880196,BKGWINDIVID-----------GPD-000500--,,0,POINTS
1953039,BKGWINDIVID-----------GPD-000500--,,2,POINTS
1897537,BKGWINDIVID-----------GPD-000600--,,1,POINTS
1897538,BKGWINDIVID-----------GPD-000600--,,1,POINTS
1965472,BKGWINDIVID-----------GPA-000500--,,2,POINTS
1909907,BKGWINDIVID-----------GPA-000500--,,0,POINTS
1956713,BKGWINDIVID-----------GPA-000600--,,0,POINTS
1955585,BKGWINDIVID-----------GPA-000600--,,2,POINTS
1953039,BKGWINDIVID-----------QFNL000200--,,1,POINTS
1965472,BKGWINDIVID-----------QFNL000200--,,2,POINTS
1909907,BKGWINDIVID-----------QFNL000300--,,3,POINTS
1897537,BKGWINDIVID-----------QFNL000300--,,0,POINTS
1909908,BKGWINDIVID-----------QFNL000400--,,0,POINTS
1924559,BKGWINDIVID-----------QFNL000400--,,3,POINTS
1880195,BKGWINDIVID-----------QFNL000100--,,0,POINTS
1953038,BKGWINDIVID-----------QFNL000100--,,3,POINTS
1953038,BKGWINDIVID-----------SFNL000100--,,2,POINTS
1965472,BKGWINDIVID-----------SFNL000100--,,1,POINTS
1909907,BKGWINDIVID-----------SFNL000200--,,1,POINTS
1924559,BKGWINDIVID-----------SFNL000200--,,2,POINTS
1965472,BKGWINDIVID-----------FNL-000200--,,1,POINTS
1909907,BKGWINDIVID-----------FNL-000200--,,2,POINTS
1965472,BKGWINDIVID-----------R32-000100--,,3,POINTS
1968743,BKGWINDIVID-----------R32-000100--,,0,IRM
1953038,BKGWINDIVID-----------FNL-000100--,,3,POINTS
1924559,BKGWINDIVID-----------FNL-000100--,,0,POINTS
1902135,ARCMINDIVID-----------QUAL000100--,1.0,686,POINTS
1902130,ARCMINDIVID-----------QUAL000100--,2.0,682,POINTS
1553249,ARCMINDIVID-----------QUAL000100--,3.0,681,POINTS
1546108,ARCMINDIVID-----------QUAL000100--,4.0,681,POINTS
1902144,ARCMINDIVID-----------QUAL000100--,5.0,681,POINTS
1541270,ARCMINDIVID-----------QUAL000100--,6.0,678,POINTS
1955595,ARCMINDIVID-----------QUAL000100--,7.0,677,POINTS
