medal_date,medal_type,athlete_code
2024-07-27,Gold Medal,1903136
2024-07-27,Silver Medal,1923520
2024-07-27,Bronze Medal,1903147
2024-07-27,Gold Medal,1940173
2024-07-27,Silver Medal,1912525
2024-07-27,Bronze Medal,1955079
2024-07-27,Gold Medal,1927149
2024-07-27,Silver Medal,1937783
2024-07-27,Bronze Medal,1924595
2024-07-27,Gold Medal,1963262
2024-07-27,Silver Medal,1916183
2024-07-27,Bronze Medal,1946375
2024-07-27,Gold Medal,1935408
2024-07-27,Silver Medal,1891304
2024-07-27,Bronze Medal,1896752
2024-07-27,Bronze Medal,1563544
2024-07-27,Gold Medal,1896735
2024-07-27,Silver Medal,1914467
2024-07-27,Bronze Medal,1891280
2024-07-27,Bronze Medal,1571911
2024-07-27,Gold Medal,1907192
2024-07-27,Silver Medal,1946172
2024-07-27,Bronze Medal,4654306
2024-07-27,Gold Medal,1946150
2024-07-27,Silver Medal,1967140
2024-07-27,Bronze Medal,1935938
2024-07-28,Gold Medal,1940205
2024-07-28,Silver Medal,1942126
2024-07-28,Bronze Medal,1896045
2024-07-28,Gold Medal,1895672
2024-07-28,Silver Medal,1955070
2024-07-28,Bronze Medal,1564023
2024-07-28,Gold Medal,1896548
2024-07-28,Silver Medal,1916194
2024-07-28,Bronze Medal,1936462
2024-07-28,Gold Medal,1950611
2024-07-28,Silver Medal,1950643
2024-07-28,Bronze Medal,1973213
2024-07-28,Gold Medal,1896763
2024-07-28,Silver Medal,1953840
2024-07-28,Bronze Medal,1935410
2024-07-28,Bronze Medal,1561138
2024-07-28,Gold Medal,1566997
2024-07-28,Silver Medal,1550162
2024-07-28,Bronze Medal,1953817
2024-07-28,Bronze Medal,1891283
2024-07-28,Gold Medal,1913907
2024-07-28,Silver Medal,1551388
2024-07-28,Bronze Medal,1551387
2024-07-28,Gold Medal,1893972
2024-07-28,Silver Medal,1893930
2024-07-28,Bronze Medal,1538159
2024-07-28,Gold Medal,1902055
2024-07-28,Silver Medal,1902069
2024-07-28,Bronze Medal,1955689
2024-07-28,Gold Medal,1925633
