team_code,stage_code,result_rank,result,result_type
BK3MTEAM3---LAT01,BK3MTEAM3-------------GPA-000100--,,21,POINTS
BK3MTEAM3---LTU01,BK3MTEAM3-------------GPA-000100--,,14,POINTS
BK3MTEAM3---CHN01,BK3MTEAM3-------------GPA-000200--,,16,POINTS
BK3MTEAM3---NED01,BK3MTEAM3-------------GPA-000200--,,21,POINTS
BK3MTEAM3---POL01,BK3MTEAM3-------------GPA-000300--,,19,POINTS
BK3MTEAM3---FRA01,BK3MTEAM3-------------GPA-000300--,,21,POINTS
BK3MTEAM3---LAT01,BK3MTEAM3-------------GPA-000500--,,21,POINTS
BK3MTEAM3---NED01,BK3MTEAM3-------------GPA-000500--,,12,POINTS
BK3MTEAM3---SRB01,BK3MTEAM3-------------GPA-000400--,,22,POINTS
BK3MTEAM3---USA01,BK3MTEAM3-------------GPA-000400--,,14,POINTS
BK3MTEAM3---SRB01,BK3MTEAM3-------------GPA-000600--,,15,POINTS
BK3MTEAM3---CHN01,BK3MTEAM3-------------GPA-000600--,,21,POINTS
BK3MTEAM3---LTU01,BK3MTEAM3-------------GPA-000700--,,20,POINTS
BK3MTEAM3---FRA01,BK3MTEAM3-------------GPA-000700--,,21,POINTS
BK3MTEAM3---USA01,BK3MTEAM3-------------GPA-000800--,,17,POINTS
BK3MTEAM3---POL01,BK3MTEAM3-------------GPA-000800--,,19,POINTS
BK3MTEAM3---NED01,BK3MTEAM3-------------GPA-000900--,,19,POINTS
BK3MTEAM3---SRB01,BK3MTEAM3-------------GPA-000900--,,21,POINTS
BK3MTEAM3---CHN01,BK3MTEAM3-------------GPA-001000--,,8,POINTS
BK3MTEAM3---LAT01,BK3MTEAM3-------------GPA-001000--,,22,POINTS
BK3MTEAM3---LTU01,BK3MTEAM3-------------GPA-001100--,,21,POINTS
BK3MTEAM3---POL01,BK3MTEAM3-------------GPA-001100--,,12,POINTS
BK3MTEAM3---NED01,BK3MTEAM3-------------GPA-001200--,,20,POINTS
BK3MTEAM3---FRA01,BK3MTEAM3-------------GPA-001200--,,13,POINTS
BK3MTEAM3---CHN01,BK3MTEAM3-------------GPA-001400--,,17,POINTS
BK3MTEAM3---POL01,BK3MTEAM3-------------GPA-001400--,,22,POINTS
BK3MTEAM3---USA01,BK3MTEAM3-------------GPA-001300--,,18,POINTS
BK3MTEAM3---LTU01,BK3MTEAM3-------------GPA-001300--,,20,POINTS
BK3MTEAM3---SRB01,BK3MTEAM3-------------GPA-001500--,,19,POINTS
BK3MTEAM3---FRA01,BK3MTEAM3-------------GPA-001500--,,16,POINTS
BK3MTEAM3---USA01,BK3MTEAM3-------------GPA-001600--,,19,POINTS
BK3MTEAM3---LAT01,BK3MTEAM3-------------GPA-001600--,,21,POINTS
BK3MTEAM3---LTU01,BK3MTEAM3-------------GPA-001700--,,21,POINTS
BK3MTEAM3---CHN01,BK3MTEAM3-------------GPA-001700--,,16,POINTS
BK3MTEAM3---POL01,BK3MTEAM3-------------GPA-001800--,,17,POINTS
BK3MTEAM3---NED01,BK3MTEAM3-------------GPA-001800--,,21,POINTS
BK3MTEAM3---NED01,BK3MTEAM3-------------GPA-001900--,,19,POINTS
BK3MTEAM3---LTU01,BK3MTEAM3-------------GPA-001900--,,18,POINTS
BK3MTEAM3---FRA01,BK3MTEAM3-------------GPA-002000--,,20,POINTS
