team_code,team_name,team_gender
ARCMTEAM3---CHN01,People's Republic of China,M
ARCMTEAM3---COL01,Colombia,M
ARCMTEAM3---FRA01,France,M
ARCMTEAM3---GBR01,Great Britain,M
ARCMTEAM3---IND01,India,M
ARCMTEAM3---ITA01,Italy,M
ARCMTEAM3---JPN01,Japan,M
ARCMTEAM3---KAZ01,Kazakhstan,M
ARCMTEAM3---KOR01,Republic of Korea,M
ARCMTEAM3---MEX01,Mexico,M
ARCMTEAM3---TPE01,Chinese Taipei,M
ARCMTEAM3---TUR01,Türkiye,M
ARCWTEAM3---CHN01,People's Republic of China,W
ARCWTEAM3---FRA01,France,W
ARCWTEAM3---GBR01,Great Britain,W
ARCWTEAM3---GER01,Germany,W
ARCWTEAM3---INA01,Indonesia,W
ARCWTEAM3---IND01,India,W
ARCWTEAM3---KOR01,Republic of Korea,W
ARCWTEAM3---MAS01,Malaysia,W
ARCWTEAM3---MEX01,Mexico,W
ARCWTEAM3---NED01,Netherlands,W
ARCWTEAM3---TPE01,Chinese Taipei,W
ARCWTEAM3---USA01,United States of America,W
ARCXTEAM2---AUS01,Australia,X
ARCXTEAM2---BRA01,Brazil,X
ARCXTEAM2---CAN01,Canada,X
ARCXTEAM2---CHN01,People's Republic of China,X
ARCXTEAM2---COL01,Colombia,X
ARCXTEAM2---CZE01,Czechia,X
ARCXTEAM2---EGY01,Egypt,X
ARCXTEAM2---ESP01,Spain,X
ARCXTEAM2---FRA01,France,X
ARCXTEAM2---GBR01,Great Britain,X
ARCXTEAM2---GER01,Germany,X
ARCXTEAM2---INA01,Indonesia,X
ARCXTEAM2---IND01,India,X
ARCXTEAM2---ISR01,Israel,X
ARCXTEAM2---ITA01,Italy,X
ARCXTEAM2---JPN01,Japan,X
ARCXTEAM2---KOR01,Republic of Korea,X
ARCXTEAM2---MDA01,Republic of Moldova,X
ARCXTEAM2---MEX01,Mexico,X
ARCXTEAM2---NED01,Netherlands,X
ARCXTEAM2---SLO01,Slovenia,X
ARCXTEAM2---TPE01,Chinese Taipei,X
ARCXTEAM2---TUR01,Türkiye,X
ARCXTEAM2---UKR01,Ukraine,X
ARCXTEAM2---USA01,United States of America,X
ARCXTEAM2---UZB01,Uzbekistan,X
ARCXTEAM2---VIE01,Vietnam,X
ATHM4X100M--AUS01,Australia,M
ATHM4X100M--BRA01,Brazil,M
ATHM4X100M--CAN01,Canada,M
ATHM4X100M--CHN01,People's Republic of China,M
ATHM4X100M--FRA01,France,M
ATHM4X100M--GBR01,Great Britain,M
ATHM4X100M--GER01,Germany,M
ATHM4X100M--GHA01,Ghana,M
ATHM4X100M--ITA01,Italy,M
ATHM4X100M--JAM01,Jamaica,M
ATHM4X100M--JPN01,Japan,M
ATHM4X100M--LBR01,Liberia,M
ATHM4X100M--NED01,Netherlands,M
ATHM4X100M--NGR01,Nigeria,M
ATHM4X100M--RSA01,South Africa,M
ATHM4X100M--USA01,United States of America,M
ATHM4X400M--BEL01,Belgium,M
ATHM4X400M--BOT01,Botswana,M
ATHM4X400M--BRA01,Brazil,M
ATHM4X400M--ESP01,Spain,M
ATHM4X400M--FRA01,France,M
ATHM4X400M--GBR01,Great Britain,M
ATHM4X400M--GER01,Germany,M
ATHM4X400M--IND01,India,M
ATHM4X400M--ITA01,Italy,M
ATHM4X400M--JPN01,Japan,M
ATHM4X400M--NGR01,Nigeria,M
ATHM4X400M--POL01,Poland,M
ATHM4X400M--RSA01,South Africa,M
ATHM4X400M--TTO01,Trinidad and Tobago,M
ATHM4X400M--USA01,United States of America,M
ATHM4X400M--ZAM01,Zambia,M
ATHW4X100M--AUS01,Australia,W
ATHW4X100M--BEL01,Belgium,W
ATHW4X100M--CAN01,Canada,W
ATHW4X100M--CIV01,Côte d'Ivoire,W
ATHW4X100M--ESP01,Spain,W
ATHW4X100M--FRA01,France,W
ATHW4X100M--GBR01,Great Britain,W
ATHW4X100M--GER01,Germany,W
ATHW4X100M--ITA01,Italy,W
ATHW4X100M--JAM01,Jamaica,W
ATHW4X100M--NED01,Netherlands,W
ATHW4X100M--NGR01,Nigeria,W
ATHW4X100M--POL01,Poland,W
ATHW4X100M--SUI01,Switzerland,W
ATHW4X100M--TTO01,Trinidad and Tobago,W
ATHW4X100M--USA01,United States of America,W
ATHW4X400M--BEL01,Belgium,W
ATHW4X400M--CAN01,Canada,W
ATHW4X400M--CUB01,Cuba,W
ATHW4X400M--ESP01,Spain,W
ATHW4X400M--FRA01,France,W
ATHW4X400M--GBR01,Great Britain,W
ATHW4X400M--GER01,Germany,W
ATHW4X400M--IND01,India,W
ATHW4X400M--IRL01,Ireland,W
ATHW4X400M--ITA01,Italy,W
ATHW4X400M--JAM01,Jamaica,W
ATHW4X400M--NED01,Netherlands,W
ATHW4X400M--NOR01,Norway,W
ATHW4X400M--POL01,Poland,W
ATHW4X400M--SUI01,Switzerland,W
ATHW4X400M--USA01,United States of America,W
ATHX42KWALKTAUS01,COWLEY R / MONTAG J,X
ATHX42KWALKTAUS02,TINGAY D / HENDERSON R,X
ATHX42KWALKTBRA01,BONFIM C / LYRA V,X
ATHX42KWALKTCAN01,DUNFEE E / LUNDMAN O,X
ATHX42KWALKTCHN01,ZHANG Jun / YANG Jiayu,X
ATHX42KWALKTCHN02,HE X / QIEYANG S,X
ATHX42KWALKTCOL01,ROMERO M / ARENAS L,X
ATHX42KWALKTCOL02,HERRERA/MOJICA CHALARCA,X
ATHX42KWALKTCZE01,HLAVAC V / MARTINKOVA E,X
ATHX42KWALKTECU01,PINTADO BD / MOREJON G,X
ATHX42KWALKTESP01,LOPEZ MA / MONTESINOS C,X
ATHX42KWALKTESP02,MARTIN A / PEREZ M,X
ATHX42KWALKTFRA01,QUINION A / BERETTA C,X
ATHX42KWALKTGER01,LINKE C / FEIGE S,X
ATHX42KWALKTHUN01,VENYERCSAN B / RECSEI R,X
ATHX42KWALKTIND01,PANWAR Suraj / PRIYANKA,X
ATHX42KWALKTITA01,STANO M / PALMISANO A,X
ATHX42KWALKTJPN01,KAWANO M / OKADA K,X
ATHX42KWALKTJPN02,TAKAHASHI K / YANAI A,X
ATHX42KWALKTMEX01,PALMA OLIVARES/GONZALEZ,X
ATHX42KWALKTPER01,RODRIGUEZ/GARCIA LEON,X
ATHX42KWALKTPOL01,BEN HLIMA M / CHOJECKA O,X
ATHX42KWALKTSVK01,CERNY D / BURZALOVA H,X
ATHX42KWALKTTUR01,DEMIR M / TEKDAL A,X
ATHX42KWALKTUKR01,BANZERUK I / OLYANOVSKA L,X
ATHX4X400M--BAH01,Bahamas,X
ATHX4X400M--BEL01,Belgium,X
ATHX4X400M--DOM01,Dominican Republic,X
ATHX4X400M--FRA01,France,X
ATHX4X400M--GBR01,Great Britain,X
ATHX4X400M--GER01,Germany,X
ATHX4X400M--IRL01,Ireland,X
ATHX4X400M--ITA01,Italy,X
ATHX4X400M--JAM01,Jamaica,X
ATHX4X400M--KEN01,Kenya,X
ATHX4X400M--NED01,Netherlands,X
ATHX4X400M--NGR01,Nigeria,X
ATHX4X400M--POL01,Poland,X
ATHX4X400M--SUI01,Switzerland,X
ATHX4X400M--UKR01,Ukraine,X
ATHX4X400M--USA01,United States of America,X
BDMMDOUBLES-CAN01,DONG Adam / YAKURA Nyl,M
BDMMDOUBLES-CHN01,LIU Yu Chen / OU Xuan Yi,M
BDMMDOUBLES-CHN02,LIANG Wei Keng / WANG Chang,M
BDMMDOUBLES-CZE01,KRAL Ondrej / MENDREK Adam,M
BDMMDOUBLES-DEN01,ASTRUP Kim / RASMUSSEN Anders Skaarup,M
BDMMDOUBLES-FRA01,POPOV Christo / POPOV Toma Junior,M
BDMMDOUBLES-FRA02,CORVEE Lucas / LABAR Ronan,M
BDMMDOUBLES-GBR01,LANE Ben / VENDY Sean,M
BDMMDOUBLES-GER01,LAMSFUSS Mark / SEIDEL Marvin,M
BDMMDOUBLES-INA01,ALFIAN Fajar / ARDIANTO Muhammad Rian,M
BDMMDOUBLES-IND01,RANKIREDDY Satwiksairaj / SHETTY Chirag,M
BDMMDOUBLES-JPN01,HOKI Takuro / KOBAYASHI Yugo,M
BDMMDOUBLES-KOR01,KANG Min Hyuk / SEO Seung Jae,M
BDMMDOUBLES-MAS01,CHIA Aaron / SOH Wooi Yik,M
BDMMDOUBLES-THA01,JOMKOH Supak / KEDREN Kittinupong,M
BDMMDOUBLES-TPE01,LEE Yang / WANG Chi-Lin,M
BDMMDOUBLES-USA01,CHIU Vinson / YUAN Joshua,M
BDMWDOUBLES-AUS01,MAPASA Setyana / YU Angela,W
BDMWDOUBLES-BUL01,STOEVA Gabriela / STOEVA Stefani,W
BDMWDOUBLES-CHN01,LIU Sheng Shu / TAN Ning,W
BDMWDOUBLES-CHN02,CHEN Qing Chen / JIA Yi Fan,W
BDMWDOUBLES-DEN01,FRUERGAARD Maiken / THYGESEN Sara,W
BDMWDOUBLES-FRA01,LAMBERT Margot / TRAN Anne,W
BDMWDOUBLES-HKG01,YEUNG Nga Ting / YEUNG Pui Lam,W
